code,category,name,seisiki_name,tosyo_category,start_day,start_FY,company_url,post_code,address,head_prefecture,category_with_code,stock_market
7571,衣料品・服飾品小売,ヤマノホールディングス,（株）ヤマノホールディングス,小売業,1987年2月20日,1986年度,http://www.yamano-hd.com/,〒151-0053,東京都渋谷区代々木１－３０－７,東京都,6100_小売業,東証JQスタンダード
7575,医薬品・医療品卸,日本ライフライン,日本ライフライン（株）,卸売業,1981年2月6日,1980年度,http://www.jll.co.jp/,〒140-0002,東京都品川区東品川２－２－２０天王洲オーシャンスクエア,東京都,6050_卸売業,東証１部
7578,生活関連サービス,ニチリョク,（株）ニチリョク,小売業,1966年12月22日,1966年度,http://www.nichiryoku.co.jp/,〒167-0023,東京都杉並区上井草１－３３－５,東京都,6100_小売業,東証JQスタンダード
7581,飲食店,サイゼリヤ,（株）サイゼリヤ,小売業,1973年5月1日,1973年度,http://www.saizeriya.co.jp/,〒342-0008,埼玉県吉川市旭２－５,埼玉県,6100_小売業,東証１部
7585,飲食店,かんなん丸,（株）かんなん丸,小売業,1994年3月27日,1993年度,http://www.kannanmaru.co.jp/,〒330-0074,さいたま市浦和区北浦和４－１－１群青ビル,埼玉県,6100_小売業,東証JQスタンダード
7587,建材・電気機械・金属卸,ＰＡＬＴＥＫ,（株）パルテック,卸売業,1982年10月14日,1982年度,http://www.paltek.co.jp/,〒222-0033,横浜市港北区新横浜２－３－１２,神奈川県,6050_卸売業,東証２部
7590,建設資材・設備,タカショー,（株）タカショー,卸売業,1980年8月21日,1980年度,http://www.takasho.co.jp,〒642-0017,和歌山県海南市南赤坂２０－１,和歌山県,6050_卸売業,東証１部
7593,自動車小売,ＶＴホールディングス,ＶＴホールディングス（株）,小売業,1983年3月22日,1982年度,http://www.vt-holdings.co.jp/,〒460-0003,名古屋市中区錦３－１０－３２,愛知県,6100_小売業,東証１部
7594,建材・電気機械・金属卸,マルカ,（株）マルカ,卸売業,1946年12月16日,1946年度,http://www.maruka.co.jp/,〒540-0024,大阪市中央区南新町２－２－５,大阪府,6050_卸売業,東証１部
7595,システム・ソフトウエア,アルゴグラフィックス,（株）アルゴグラフィックス,情報・通信業,1985年2月19日,1984年度,http://www.argo-graph.co.jp/,〒103-0015,東京都中央区日本橋箱崎町５－１４,東京都,5250_情報・通信業,東証１部
7596,飲食店,魚力,（株）魚力,小売業,1984年12月1日,1984年度,http://www.uoriki.co.jp/,〒190-0012,東京都立川市曙町２－８－３,東京都,6100_小売業,東証１部
